Luis R. Almodovar, V. M. Rosado, Juan J. Irizarry, Marine Botany Class	fix2019 Luis R. Almodovar, V. M. Rosado, Juan J. Irizarry, Marine Botany Class	1
Ralph A. Lwein, Lanna Cheng	fix2019 Ralph A. Lwein, Lanna Cheng	1
E. Allen, A. V. Duthie	fix2019 E. Allen, A. V. Duthie	1
N. J. Eisman, R. Roesch	fix2019 N. J. Eisman, R. Roesch	1
F. S. Wagner, G. F. Papenfuss	fix2019 F. S. Wagner, G. F. Papenfuss	1
B. Luter, A. V. Duthie	fix2019 B. Luter, A. V. Duthie	1
Sharon Gray, Marsha Black, Joanna R. Leung, Steve Boyce	fix2019 Sharon Gray, Marsha Black, Joanna R. Leung, Steve Boyce	1
O. F. Cook, G. B. Gilbert	fix2019 O. F. Cook, G. B. Gilbert	1
Isaac Holden, Isaac Holden	fix2019 Isaac Holden, Isaac Holden	1
G. A. C. Herklots, fishermen from Shankiwan	fix2019 G. A. C. Herklots, fishermen from Shankiwan	11
Wm. Randolph Taylor, A.J. Bernatowicz	fix2019 Wm. Randolph Taylor, A.J. Bernatowicz	4
F. Leslie, Minnie Reed	fix2019 F. Leslie, Minnie Reed	10
W. A. Setchell, Wadsworth	fix2019 W. A. Setchell, Wadsworth	1
Luis R. Almodovar, V. and F. Rivas	fix2019 Luis R. Almodovar, V. and F. Rivas	2
Paul J. Philson, C. M. Crosby, L. A. Doorf, T. T. Earle., L. M. Jones, M. H. Jones	fix2019 Paul J. Philson, C. M. Crosby, L. A. Doorf, T. T. Earle., L. M. Jones, M. H. Jones	2
M. du Raan, A. V. Duthie	fix2019 M. du Raan, A. V. Duthie	1
Peter Nelson, Charles Budd Robinson, Jr.	fix2019 Peter Nelson, Charles Budd Robinson, Jr.	2
Wm R. Taylor, A. J. Bernatowicz	fix2019 Wm R. Taylor, A. J. Bernatowicz	2
Lee Bonar, N. L. Gardner	fix2019 Lee Bonar, N. L. Gardner	1
W. A. Setchell, W. S. Wadsworth	fix2019 W. A. Setchell, W. S. Wadsworth	1
David Porterfield, Ralph H. Mizell	fix2019 David Porterfield, Ralph H. Mizell	1
A. Nash, V. K. Nash, I. B. Warnock	fix2019 A. Nash, V. K. Nash, I. B. Warnock	2
C. Z. Mazzyn, A. V. Duthie	fix2019 C. Z. Mazzyn, A. V. Duthie	2
Rudolf schmid, Raymond B. Phillips	fix2019 Rudolf schmid, Raymond B. Phillips	1
R. K. S. Lee, J. Boom, P. Newroth	fix2019 R. K. S. Lee, J. Boom, P. Newroth	1
Luis R. Almodovar, V. M. Rosado, W. Irizarry, J. J. Irizarry, and Captain Felix	fix2019 Luis R. Almodovar, V. M. Rosado, W. Irizarry, J. J. Irizarry, and Captain Felix	1
F. A. McClure, Chinese fishermen	fix2019 F. A. McClure, Chinese fishermen	6
Luis R. Almodovar, F. Pagán, V. M. Rosado, H. Austin, J. Irizarry, and Captain Felix	fix2019 Luis R. Almodovar, F. Pagán, V. M. Rosado, H. Austin, J. Irizarry, and Captain Felix	2
Wm. Trelease, De Alton Saunders	fix2019 Wm. Trelease, De Alton Saunders	13
R. Pienaar, Wynne	fix2019 R. Pienaar, Wynne	1
Otto Degener, Iso Degener	fix2019 Otto Degener, Iso Degener	4
F. Tseng, M. Tseng	fix2019 F. Tseng, M. Tseng	1
Robert W. Ricker, A. Dick	fix2019 Robert W. Ricker, A. Dick	2
John Cocks, M. D.	fix2019 John Cocks, M. D.	2
F. Engles, A. V. Duthie	fix2019 F. Engles, A. V. Duthie	1
V. Fick, A. V. Duthie	fix2019 V. Fick, A. V. Duthie	1
R. Ricker, L. Torre-grossa	fix2019 R. Ricker, L. Torre-grossa	1
Lawrence M. Jones, C. M. Crosby, L. A. Doore, T. T. Earle, J. E. Tilden, M. H. Jones, A. Nash, V. K. Nash, P. J. Philson, I. B. Warnock, and V. R. Warnock	fix2019 Lawrence M. Jones, C. M. Crosby, L. A. Doore, T. T. Earle, J. E. Tilden, M. H. Jones, A. Nash, V. K. Nash, P. J. Philson, I. B. Warnock, and V. R. Warnock	1
David Porterfield, Ralph H. Mizell, Rick Meyer	fix2019 David Porterfield, Ralph H. Mizell, Rick Meyer	1
Gary Powell, Steve Boyce, Thomas Greene	fix2019 Gary Powell, Steve Boyce, Thomas Greene	1
L. R. Almodovar, Fco. Pagán, B. & C. Cutress	fix2019 L. R. Almodovar, Fco. Pagán, B. & C. Cutress	2
R. L. Moe, G. Zumwalt	fix2019 R. L. Moe, G. Zumwalt	3
Luis R. Almodovar, F. Pagán, V. M. Rosado, J. Irizarry	fix2019 Luis R. Almodovar, F. Pagán, V. M. Rosado, J. Irizarry	1
Carl Johnson, E. Yale Dawson 2496	fix2019 Carl Johnson, E. Yale Dawson 2496	1
R. F.	fix2019 R. F.	1
Caroline M. Crosby, J. Tilden	fix2019 Caroline M. Crosby, J. Tilden	1
C. Dawes, BO-443 class field trip.	fix2019 C. Dawes, BO-443 class field trip.	1
L. R. Almodovar, V. M. Rosado, J. Gonzalez, Capt. Felix, Wilson Irizarry	fix2019 L. R. Almodovar, V. M. Rosado, J. Gonzalez, Capt. Felix, Wilson Irizarry	2
P. A. Cordero, Vendivil	fix2019 P. A. Cordero, Vendivil	3
E. A. Willa, G. F. Papenfuss	fix2019 E. A. Willa, G. F. Papenfuss	1
Giles W. Mead, Parry Mead, Tony Ferriera	fix2019 Giles W. Mead, Parry Mead, Tony Ferriera	1
Codero, Lopez	fix2019 Codero, Lopez	1
M. Lomo, University of Cape Town Ecological Survey	fix2019 M. Lomo, University of Cape Town Ecological Survey	1
A. Wassels, A. V. Duthie	fix2019 A. Wassels, A. V. Duthie	1
Richard D. Hill, M. Farwell	fix2019 Richard D. Hill, M. Farwell	2
A. A. Lawson, L. E. Hunt	fix2019 A. A. Lawson, L. E. Hunt	9
J. H. Stander, A. V. Duthie	fix2019 J. H. Stander, A. V. Duthie	4
E. Cerrate, S. Cruz, C. Acleto	fix2019 E. Cerrate, S. Cruz, C. Acleto	2
F. C. Croley, C. J. Dawes, John Lawrence	fix2019 F. C. Croley, C. J. Dawes, John Lawrence	1
W. E. Isaac, G. F. Papenfuss	fix2019 W. E. Isaac, G. F. Papenfuss	1
F. Filarszky, G. Moesz	fix2019 F. Filarszky, G. Moesz	2
J. E. Tilden, C. M. Crosby, L. A. Doore, T. T. Earle, L. M. Jones, M. H. Jones, A. Nash, V. K. Nash, P. J. Philson, I. B. Warnock, and V. R. Warnock	fix2019 J. E. Tilden, C. M. Crosby, L. A. Doore, T. T. Earle, L. M. Jones, M. H. Jones, A. Nash, V. K. Nash, P. J. Philson, I. B. Warnock, and V. R. Warnock	1
Luis R. Almodovar, J. J. Irizarry	fix2019 Luis R. Almodovar, J. J. Irizarry	2
L. M. Lamb, U. V. Metzger	fix2019 L. M. Lamb, U. V. Metzger	1
G. B. De Toni, D. Levi	fix2019 G. B. De Toni, D. Levi	3
C. Limbaugh, C. Limbaugh	fix2019 C. Limbaugh, C. Limbaugh	2
Hauck, Richter	fix2019 Hauck, Richter	1
G. Morin, A. V. Duthie	fix2019 G. Morin, A. V. Duthie	1
E. Shong, A. Asahina	fix2019 E. Shong, A. Asahina	1
