old value	new value
A. A. Aleem	A. A. Aleem
A. A. Beetle	A. A. Beetle
A. A. Groenewald	A. A. Groenewald
A. A. Heller	A. A. Heller
A. A. Heller, E. Gertrude Heller	A. A. Heller, E. Gertrude Heller
A. A. Kalugina	A. A. Kalugina
A. A. Lawson	A. A. Lawson
A. A. Weber	A. A. Weber
A. A. Weber van Bosse	A. A. Weber-van Bosse
A. A. Weber-van Bosse	A. A. Weber-van Bosse
A. Allen	A. Allen
A. Andrea	A. Andrea
A. Arthur Heller	A. Arthur Heller
A. Asahina	A. Asahina
A. Athanasiadis	A. Athanasiadis
A. Avila Ortiz	A. Avila Ortiz
A Br.	A. B.
A. B.	A. B.
A. Br	A. B.
A. Br.	A. B.
A. B. Bronson	A. B. Bronson
A. B. Cribb	A. B. Cribb
A. B. Grubb	A. B. Grubb
A. B. Harvey	A. B. Hervey
A. B. Hervey	A. B. Hervey
A. B. Joly	A. B. Joly
A. B. Kotwal	A. B. Kotwal
A. B. Langlois	A. B. Langlois
A. B. Seymour	A. B. Seymour
A. Bailey	A. Bailey
A. Bailey and H. B. S. Womersley	A. Bailey, H. B. S. Womersley
A. Bailey, H. B. S. Womersley	A. Bailey, H. B. S. Womersley
A. Bathgate	A. Bathgate
A. Bennett	A. Bennett
A. Berg	A. Berg
Á. Boros	A. Boros
Al Borza	A. Borza
Al. Borza	A. Borza
A. Borza, C. Gurtler	A. Borza, C. Gurtler
Al. Borza, C. Gurtler	A. Borza, C. Gurtler
A. Borzi	A. Borzi
A. Boullu	A. Boullu
A. Bousquet	A. Bousquet
A. Bowden	A. Bowden
A Baun	A. Braun
A Braun	A. Braun
A. Baun	A. Braun
A. Braun	A. Braun
A. Brown	A. Brown
A. Burea	A. Bursa
A. Bursa	A. Bursa
A. C. F	A. C. F.
A. C. Feltm	A. C. Felton
A. C. Felton	A. C. Felton
A. C. McGregor	A. C. McGregor
A. C. Smith	A. C. Smith
A. C. Waghowe	A. C. Waghowe
A. Chiamenti	A. Chiamenti
A. Clemente	A. Clemente
A. Crunow	A. Crunow
A. D. Conger	A. D. Conger
A. D. Conger, Lois L. Eubank	A. D. Conger, Lois L. Eubank
A D. Cotton	A. D. Cotton
A. D. Cotton	A. D. Cotton
A.D. Cotton	A. D. Cotton
A. D. Euhoba	A. D. Euhoba
A. D. Hardy	A. D. Hardy
A. D. L.	A. D. L.
A. D. R. N'Yeurt	A. D. R. N'Yeurt
