old value	new value
A. D. Zinova	A. D. Zinova
A. Millar	A. Millar
Almodovar, L.R.	L. R. Almodovar
Borgesen	F. Borgesen
Charles J. O'Kelly	Charles J. O'Kelly
Collins, F. S.	F. S. Collins
D. S. Litter & M.M. Littler	D. S. Littler, M. M. Littler
Drouet	F. Drouet
E. S. Zinova	E. S. Zinova
E. Yale Dawson	E. Yale Dawson
F. Borgesen	F. Borgesen
F. Drouet	F. Drouet
F. S. Wagner & G. F. Papenfuss	F. S. Wagner, G. F. Papenfuss
#Fay Kenoyer Daily	Fay K. Daily
Francis Drouet	F. Drouet
G. F. Papenfuss	G. F. Papenfuss
G. Hansen	G. Hansen
G. J. Hollenberg	G. J. Hollenberg
H. Phinney II	H. Phinney II
Humm, H. J.	H. J. Humm
J. A. West	J. A. West
J. N. Norris & K. E. Bucher	J. N. Norris, K. E. Bucher
J. Oliveira	J. Oliveira
Lindauer, Victor W.	Victor W. Lindauer
M. Diaz-Piferrer	M. Diaz-Piferrer
M. E. Chacana	M. E. Chacana
Max Chacana & P. C. Silva	Max Chacana, P. C. Silva
Moe	Moe
N. Morozova	N. Morozova
O. Nordstedt	O. Nordstedt
P. A. Cordero Jr.	P. A. Cordero Jr.
P. C. Silva	P. C. Silva
Phinney	H. Phinney II
R. Riosmena-Rodriguez	R. Riosmena-Rodriguez
S. Funahashi	S. Funahashi
Schneider, C. W.	C. W. Schneider
Schneider, C.W.	C. W. Schneider
Searles, R. B.	R. B. Searles
Setchell	William A. Setchell
unknown	Unknown
V. F. Schiffner	V. F. Schiffner
W. R. Taylor	W. R. Taylor
William A. Setchell	William A. Setchell
Wm.R Taylor & A.J. Bernatowicz	W. R. Taylor, A.J. Bernatowicz
Fay K. Daily	Fay Kenoyer Daily
