Cladophora ceratina	Cladophora ceratina Kutzing
Cirrulicarpus carolinensis	Cirrulicarpus carolinensis Hansen
Valoniopsis hancockii	Valoniopsis hancockii E. Y. Dawson
Polysiphonia	Polysiphonia Greville
Desmarestia herbacea	Desmarestia herbacea (Turner) J. V. Lamouroux
Polysiphonia marchantae	Polysiphonia marchantiae Setchell & N. L. Gardner
Chara	Chara L.
Microdictyon okamurae	Microdictyon okamurae Setchell
Chondracanthus squarrulosus	Chondracanthus squarrulosus (Setchell & Gardner) J.R. Hughey, P.C. Silva, & M.H. Hommersand
Valoniopsis pachynema	Valoniopsis pachynema (G. Martens) Borgesen
Lithothamnion australe f. tualensis	Lithothamnion australe f. tualense
Elaschistea minor	Elaschistea minor
Hypnea marchantae	Hypnea marchantiae Setchell & N. L. Gardner
Leptocladia peruviana	Leptocladia peruviana Howe
Sphacelaria subfusca	Sphacelaria subfusca Setchell & Gardner
Sargassum ecuadoreanum	Sargassum ecuadoreanum W. R. Taylor
Delisea hypneoides	Delisea hypneoides Harvey
Halimeda monile	Halimeda monile (J. Ellis & Solander) J. V. Lamouroux
Fucus edentatus	Fucus edentatus Bachelot de la Pylaie
Codium guine'nse	Codium guineense
Dictyota guine'nsis	Dictyota guineensis
Lithophyllum samo'nse	Lithophyllum samoense Foslie
Hydrolithon samo'nse	Hydrolithon samoense
